Date,US_ALL_SECTORS (thousand megawatts hours),US_ELECTRIC_UTILITY (thousand megawatts hours),US_INDEPENDENT_POWER_PRODUCERS (thousand megawatts hours),US_ALL_COMMERCIAL (thousand megawatts hours),US_ALL_INDUSTRIAL (thousand megawatts hours)
1/1/01,332493,236467,82269,629,13128
2/1/01,282940,199802,71169,548,11421
3/1/01,300707,211942,75758,553,12454
4/1/01,278079,197499,68356,550,11674
5/1/01,300492,215508,72658,575,11751
6/1/01,327694,233622,81526,598,11949
7/1/01,357614,253400,90434,732,13048
8/1/01,370533,258901,97251,814,13566
9/1/01,306929,214236,79646,636,12412
10/1/01,294734,204307,77084,622,12721
11/1/01,278934,192518,73637,548,12230
12/1/01,305496,211742,80320,611,12822
1/1/02,319941,215684,90487,597,13173
2/1/02,281826,187929,81547,500,11850
3/1/02,302549,200833,88490,573,12654
4/1/02,289848,194038,83088,546,12176
5/1/02,307675,208436,86081,566,12592
6/1/02,341023,227940,99613,642,12829
7/1/02,381542,248962,118018,743,13820
8/1/02,374586,241449,118902,797,13438
9/1/02,331279,215408,102568,676,12628
10/1/02,307059,201705,92391,600,12363
11/1/02,296290,194205,89169,554,12361
12/1/02,324834,212868,98648,622,12697
1/1/03,341989,217338,110107,617,13926
2/1/03,299249,189944,96755,550,11999
3/1/03,304317,193305,97781,594,12637
4/1/03,285756,181914,91102,581,12159
5/1/03,307545,200634,93607,598,12706
6/1/03,328694,212297,103009,624,12763
7/1/03,374396,234888,125228,709,13571
8/1/03,381816,234675,132745,718,13678
9/1/03,323136,201966,107785,640,12744
10/1/03,306741,192198,101090,636,12816
11/1/03,297867,189362,95541,588,12377
12/1/03,331680,213758,104128,640,13154
1/1/04,346546,221782,110515,694,13555
2/1/04,314280,198675,102603,654,12348
3/1/04,308812,193763,101744,634,12670
4/1/04,290560,182744,94859,623,12334
5/1/04,327380,207224,106692,699,12765
6/1/04,345085,219767,111764,702,12853
7/1/04,377332,235266,127666,763,13637
8/1/04,368439,227785,126724,749,13181
9/1/04,335622,209507,112822,707,12586
10/1/04,312450,197320,102156,673,12301
11/1/04,302101,191813,97395,656,12237
12/1/04,341948,219585,108190,714,13459
1/1/05,343121,212654,117242,737,12489
2/1/05,298500,185283,101283,656,11279
3/1/05,317458,196136,108488,702,12132
4/1/05,289562,178408,98995,649,11512
5/1/05,315062,197082,105441,686,11853
6/1/05,363672,221116,129131,763,12662
7/1/05,402274,239381,148249,823,13821
8/1/05,404941,238790,151468,821,13862
9/1/05,350218,211139,126542,718,11819
10/1/05,316398,193687,111513,644,10553
11/1/05,306115,188255,106436,627,10797
12/1/05,348101,212914,122559,665,11962
1/1/06,328658,204976,110278,684,12720
2/1/06,307333,192304,103029,643,11357
3/1/06,318730,197249,108792,643,12046
